tow_date,tow_reason,storage_company,street,city,geo_location,longitude,latitude,location,block,hh_income,pop_total,pop_black,state,tract
2020-07-12,PKG,Authorized,9401 Penshurst Ct,Montgomery Village,POINT (-77.191685 39.194),-77.19168499999999,39.194,"(39.194, -77.191685)",7001042,98558,2125,452,24,700104
2020-07-04,PKG,Authorized,9301 Jarrett Ct,Montgomery Village,POINT (-77.190898 39.19354),-77.190898,39.193540000000006,"(39.19354, -77.190898)",7001042,98558,2125,452,24,700104
2020-07-04,PRV,Authorized,9504 Dunbrook Ct,Montgomery Village,POINT (-77.193969 39.194048),-77.193969,39.194047999999995,"(39.194048, -77.193969)",7001042,98558,2125,452,24,700104
2020-10-16,FIRE,Authorized,9300 Bathgate Ct,Montgomery Village,POINT (-77.191288 39.192625),-77.191288,39.192625,"(39.192625, -77.191288)",7001042,98558,2125,452,24,700104
2020-08-22,PKG,Authorized,9301 Bathgate Ct,Montgomery Village,POINT (-77.191287 39.192624),-77.191287,39.192624,"(39.192624, -77.191287)",7001042,98558,2125,452,24,700104
2020-12-15,FIRE,Authorized,20521 Highland Hall Dr,Montgomery Village,POINT (-77.188792 39.193992),-77.188792,39.193992,"(39.193992, -77.188792)",7001042,98558,2125,452,24,700104
2020-12-08,FIRE,Authorized,20321 Highland Hall Dr,Montgomery Village,POINT (-77.186868 39.191373),-77.186868,39.191373,"(39.191373, -77.186868)",7001042,98558,2125,452,24,700104
2020-12-03,REPO,Other,9214 Chadburn Pl,Montgomery Village,POINT (-77.190497 39.193849),-77.190497,39.193849,"(39.193849, -77.190497)",7001042,98558,2125,452,24,700104
2020-12-11,REPO,Other,9410 Penshurst Ct,Montgomery Village,POINT (-77.191969 39.193912),-77.191969,39.193912,"(39.193912, -77.191969)",7001042,98558,2125,452,24,700104
2020-12-01,NOP,Other,9402 Penshurst Ct,Montgomery Village,POINT (-77.191679 39.194002),-77.19167900000001,39.194002000000005,"(39.194002, -77.191679)",7001042,98558,2125,452,24,700104
2020-12-08,REPO,Final Notice,9387 Chadburn Pl,Montgomery Village,POINT (-77.19261 39.194453),-77.19261,39.194453,"(39.194453, -77.19261)",7001042,98558,2125,452,24,700104
2020-12-08,NOP,Authorized,20529 Strath Haven Dr,Montgomery Village,POINT (-77.19323 39.19327),-77.19323,39.19327,"(39.19327, -77.19323)",7001042,98558,2125,452,24,700104
2021-01-27,PKG,Authorized,20700 Highland Hall Dr,Montgomery Village,POINT (-77.188125 39.191089),-77.188125,39.191089,"(39.191089, -77.188125)",7001042,98558,2125,452,24,700104
2021-01-05,REPO,Etc,7 Strath Haven Ct,Montgomery Village,POINT (-77.192724 39.194075),-77.192724,39.194075,"(39.194075, -77.192724)",7001042,98558,2125,452,24,700104
2021-02-25,PKG,Henrys,9200 Wightman Rd,Montgomery Village,POINT (-77.186838 39.187779),-77.186838,39.187779,"(39.187779, -77.186838)",7001042,98558,2125,452,24,700104
2021-02-10,REPO,Tri State,20514 Sterncroft Ct,Montgomery Village,POINT (-77.192201 39.192155),-77.192201,39.192155,"(39.192155, -77.192201)",7001042,98558,2125,452,24,700104
2020-05-19,PKG,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-05-08,NOP,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-05-22,72,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-05-19,ABN,,7920 Queenair Dr,Gaithersburg,POINT (-77.162391 39.170095),-77.162391,39.170095,"(39.170095, -77.162391)",7001051,50977,1693,416,24,700105
2020-05-11,NOP,,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-05-16,PKG,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-05-13,PRV,Custom,19211 Chennault Way,Gaithersburg,POINT (-77.156968 39.171144),-77.156968,39.171144,"(39.171144, -77.156968)",7001051,50977,1693,416,24,700105
2020-05-03,PRV,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-02-05,REPO,Other,7404 Torran Rocks Way,Gaithersburg,POINT (-77.154875 39.175428),-77.154875,39.175428000000004,"(39.175428, -77.154875)",7001051,50977,1693,416,24,700105
2020-02-20,REPO,Other,8001 Beechcraft Ave,Gaithersburg,POINT (-77.16392 39.164388),-77.16391999999999,39.164388,"(39.164388, -77.16392)",7001051,50977,1693,416,24,700105
